sid,sense_lemma,num_relations,sense_def
09288806,過往,48,比喻生物失去生命。
09036501,歿,48,形容生物失去生命。
03057401,祇,47,表對後述事物做評估，表示比預期小或少。
06559219,去,47,比喻生物失去生命。
06716101,顏色,47,物體表面因反射或透過的光波，產生特定視覺現象所呈現的結果。
06579401,訊息,46,以口語或書面形式傳播的消息。
05007701,裏,46,事物內部不屬於表面的範圍。
06651501,存,46,形容生命持續。
14584601,水中生物,45,泛指一切生活在溪流、河川、海洋等水域中的生物。
06613001,方法,43,做事的步驟及技巧。
05020301,至為,43,表達到最高程度。
04044801,極了,42,表達到最高程度。
05033901,至極,42,表達到最高程度。
06039501,殺,42,表達到最高程度。
05126001,到家,42,表達到最高程度。
05069707,絕,42,表達到最高程度。
06043005,極,42,表達到最高程度。
14481001,產物,41,指在特定條件下產生的結果或是事物。
05203401,煞是,41,表達到最高程度。
05078601,備至,41,表達到最高程度。
05174701,之至,41,表達到最高程度。
07069804,暴,41,表達到最高程度。
06731506,盛,41,表達到最高程度。
07125301,燕,41,五胡十六國之一，西元398年至西元410年，慕容德所建。
13628901,行政區,41,由政府在國土上劃定能夠行使政治行為的區塊。
05035214,死,41,表達到最高程度。
04046101,極為,41,表達到最高程度。
05109908,透,41,表達到最高程度。
05077301,煞為,41,表達到最高程度。
07069612,爆,41,表達到最高程度。
05000101,絕頂,41,表達到最高程度。
05200901,煞,40,表達到最高程度。
09198203,斃,40,表達到最高程度。
07053408,柴,40,形容對特定對象的評價是負面的。
06683806,惡,40,表達到最高程度。
09127401,禽,40,脊椎動物門的一類，卵生，身上有羽毛，有翅膀，通常會飛。
06604401,位置,39,特定對象所在的地方。
07106901,北,39,形容比喻在競爭中被打敗。
07019201,趙,39,五胡十六國之一，西元304年至西元329年，劉淵所建。
09273001,晉,39,中國省名，位於陝西、河南、綏遠之間。
07081501,什,39,表示對描述對象的疑問。
07073801,良,39,形容對特定對象的評價是正面的。
06684401,糟,39,形容對特定對象的評價是負面的。
05062401,惟有,39,表對後述事物做評量，表數量不多。
07053701,優,39,形容對特定對象的評價是正面的。
06742401,不良,38,形容對特定對象的評價是負面的。
04028301,假如,38,連接假設條件。
05235001,壞,38,形容對特定對象的評價是負面的。
07056401,娘,38,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
06702812,亂,38,表超過平常的程度。
06675801,南,38,指南針指向180度的方位。
13642401,地形,38,星球表面局部的空間狀態，包括高低、形狀等特徵。
05049901,唯有,38,表對後述事物做評量，表數量不多。
06587001,大學,38,學校系統中最高等級，授予學位的學校。
08014701,粉,38,表超過平常的程度。
03050102,以後,38,晚於現在或前述事件的時段。
03056402,之後,38,晚於現在或前述事件的時段。
04084802,之后,38,晚於現在或前述事件的時段。
06521001,佳,38,形容對特定對象的評價是正面的。
03016002,怪,38,表超過平常的程度。
09074302,孬,38,形容對特定對象的評價是負面的。
06611301,事件,38,發生在特定時間地點的事，具有特定影響力。
04084702,以后,38,晚於現在或前述事件的時段。
06660301,良好,37,形容對特定對象的評價是正面的。
04157701,好,37,形容對特定對象的評價是正面的。
07019301,趙,37,五胡十六國之一，西元319年至西元351年，石勒所建。
06703607,菜,37,形容對特定對象的評價是負面的。
06663313,深,37,表超過平常的程度。
05166211,老,37,表超過平常的程度。
09254901,不錯,37,形容對特定對象的評價是正面的。
06732507,跌,37,比喻數量或數目減少。
05172306,相當,37,表超過平常的程度。
06570201,超級,37,表超過平常的程度。
09155502,遜,37,形容對特定對象的評價是負面的。
06649801,僅有,37,對後述數量做評量，表數量不多。
06640302,特別,37,表超過平常的程度。
06617205,賊,37,表超過平常的程度。
07079901,嘉,37,形容對特定對象的評價是正面的。
06551011,前面,37,早於現在或前述事件的時段。
06683803,惡,37,形容對特定對象的評價是負面的。
05126801,好生,37,表超過平常的程度。
04143911,后,37,晚於現在或前述事件的時段。
05007004,奇,37,表超過平常的程度。
06625002,特,37,表超過平常的程度。
07031106,超,37,表超過平常的程度。
07121301,夏,37,五胡十六國之一，西元406至西元431年，由赫連勃勃所建立。
05172901,很,37,表超過平常的程度。
07025801,後來,36,晚於現在或前述事件的時段。
05195608,早,36,早於現在或前述事件的時段。
09272901,晉,36,中國朝代名，五代之一，西元936年至西元947年，由石敬瑭所建。
09003701,什,36,數目字。整數，為九加一的和。
05234101,如果,36,連接假設條件。
06038511,落,36,數量或數目減少。
06586501,無,36,不擁有後述對象。
06710214,精,36,表超過平常的程度。
09272801,晉,36,中國朝代名，西元265年至西元420年，晉武帝司馬炎所建。
08018101,漢,36,五胡十六國之一，西元304年至西元347年，李雄所建。
06784601,器具,36,生活或工作上所使用的人造物。
05216701,非常,36,表超過平常的程度。
04153201,聲音,36,物體振動或說話時所發出的聲響。
06045001,狠,36,表超過平常的程度。
09273101,晉,36,姓。
09272701,晉,36,西周、春秋諸侯國之一，在今山西省、河北省西南一帶。
07042401,克,35,在競爭中獲勝。
05031401,設若,35,連接假設條件。
08059502,設,35,連接假設條件。
05238701,我,35,代指說話者。
06053401,若,35,連接假設條件。
06570008,晚,35,晚於現在或前述事件的時段。
07107302,果,35,連接假設條件。
06560209,使,35,連接假設條件。
05068001,倘若,35,連接假設條件。
05108101,倘,35,連接假設條件。
06780401,要,35,連接假設條件。
05092001,假使,35,連接假設條件。
06754303,拔,35,比喻消除後述對象使其不存在。
07114001,燕,35,五胡十六國之一，西元334年至西元370年，慕容皝所建。
08011502,商,35,中國朝代名，西元前1600年至西元前1046年，由商湯所建立。
07114101,燕,35,五胡十六國之一，西元384年至西元409年，慕容垂所建。
05150801,如若,35,連接假設條件。
04086401,內,35,在前述對象所包含的空間範圍。
03033713,前,35,早於現在或前述事件的時段。
05061901,假若,35,連接假設條件。
06537910,脫,35,連接假設條件。
06647110,掉,35,比喻數量或數目減少。
03000604,按,35,引介遵循的原則。
06754606,降,35,比喻數量或數目減少。
06728001,涼,35,五胡十六國之一，西元314年至西元376年，張寔所建。
07125401,燕,35,五胡十六國之一，西元409年至西元436年，慕容雲所建。
03036504,如,35,連接假設條件。
03056802,之前,35,在時間參考點之前的時段。
07106401,小,35,進行正式基礎教育中最初階段的學校。
07120801,涼,35,五胡十六國之一，西元389年至西元403年，呂光所建。
04028401,要是,35,連接假設條件。
03018211,後,35,晚於現在或前述事件的時段。
09260601,介,35,表超過平常的程度。
04027201,如果說,35,連接假設條件。
07120901,涼,35,五胡十六國之一，西元397年至西元414年，禿髮烏孤所建。
04028001,若是,35,連接假設條件。
07120601,涼,35,五胡十六國之一，西元398年至西元410年，李暠所建。
07120701,涼,35,五胡十六國之一，西元401年至西元439年，沮渠蒙遜所建。
04018902,除去,34,消除後述對象使其不存在。
06739003,慢,34,晚於現在或前述事件的時段。
07046502,准,34,引介遵循的原則。
07121201,夏,34,中國朝代名，西元前2205年至西元前1766年，由啟所建立。
03024802,據,34,引介遵循的原則。
06000401,周,34,中國朝代名，西元前1046年至西元前256年，由姬發所建。
06648108,失,34,在競爭中被打敗。
06610101,提高,34,數量或數目增加。
07106001,元,34,中國朝代名，西元1279年至西元1368年，元世祖忽必烈所建。
04018205,照,34,引介遵循的原則。
03000701,按照,34,引介遵循的原則。
06630510,後面,34,晚於現在或前述事件的時段。
09038903,秉,34,引介遵循的原則。
06751602,但,34,表對後述對象的評價比預期低。
09288803,過往,34,早於現在或前述事件的時段。
07003501,明,34,中國朝代名，西元1368至1644年，由朱元璋所建立。
06710905,墨,34,在競爭中被打敗。
05073001,贏,34,在競爭中獲勝。
07033108,折,34,在競爭中被打敗。
09299302,以往,34,晚於現在或前述事件的時段。
03015402,根據,34,引介遵循的原則。
03049302,依據,34,引介遵循的原則。
03050001,依照,34,引介遵循的原則。
06627507,過去,34,在時間參考點之前的時段。
04016402,憑,34,引介遵循的原則。
06751102,仍,34,引介遵循的原則。
06627509,過去,34,早於現在或前述事件的時段。
07120301,秦,33,五胡十六國之一，西元385年至西元431年，乞伏國仁所建。
06617408,準,33,引介遵循的原則。
09030906,卸,33,比喻消除後述對象使其不存在。
07120401,秦,33,五胡十六國之一，西元351年至西元394年，苻健所建。
05157601,唐,33,中國朝代名，西元617年至西元907年，唐高祖李淵所建。
07076510,激,33,表超過平常的程度。
06621602,敗,33,在競爭中獲勝。
06598204,升級,33,形容數量或數目增加。
05235202,洗,33,比喻消除後述對象使其不存在。
04015308,靠,33,引介遵循的原則。
05198206,就,33,引介遵循的原則。
07120501,秦,33,五胡十六國之一，西元384年至西元417年，姚萇所建。
06557701,爸爸,33,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
04016002,憑藉,33,引介遵循的原則。
06564303,升,33,比喻數量或數目增加。
07106301,大,33,學校系統中最高等級，授予學位的學校。
09278202,据,33,引介遵循的原則。
04018504,依,33,引介遵循的原則。
05162001,母,33,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
05096701,而後,33,表晚於現在或前述事件的時段。
06721801,媽媽,33,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
04016301,同,32,形容沒有差別的。
09309901,滅絕,32,消除後述對象使其不存在。
05238401,母親,32,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
05238301,父親,32,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
09147907,熄,32,比喻消除後述對象使其不存在。
07050301,亡,32,形容生物失去生命。
07103201,偶,32,代指說話者。
06564505,移,32,比喻消除後述對象使其不存在。
05233701,死亡,32,形容生物失去生命。
06022001,隋,32,中國朝代名，西元581年至西元618年，隋文帝楊堅所建。
06529801,機構,32,特定團體單位或其內部組織。
09024802,沐,32,比喻消除後述對象使其不存在。
07017001,清,32,中國朝代名，西元1636年至西元1912年，清太宗皇太極所建。
06643501,爹,32,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
06564301,升,32,位置往高處移動。
09299502,去除,32,消除後述對象使其不存在。
09272301,捷,32,形容在競爭中獲勝。
09236507,驅,32,比喻消除後述對象使其不存在。
06744601,媽,32,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
05055101,老娘,32,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
06559214,去,32,比喻消除後述對象使其不存在。
04109201,予,31,代指說話者。
09037601,泯,31,消除後述對象使其不存在。
09121503,愚,31,代指說話者。
06546901,爸,31,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
05219701,阿拉,31,代指說話者。
06520901,金錢,31,通指貨幣。
04088201,咱,31,代指說話者。
05017101,敝人,31,代指說話者。
09064506,挪,31,比喻消除後述對象使其不存在。
04088001,余,31,代指說話者。
04143912,后,31,未來的時間。
04086901,在下,31,代指說話者。
06551012,前面,31,比喻在時間參考點之前的時段。
04089601,個人,31,代指說話者。
07031201,父,31,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
04059103,阿媽,31,子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
05029401,鄙人,31,代指說話者。
09144702,撤,31,消除後述對象使其不存在。
05029201,咱家,31,代指說話者。
08011201,中,31,國名，位於亞洲東部的國家，東瀕太平洋，北臨俄國，是世界上人口最多的國家。
06664803,清楚,31,清楚地知道。
09280201,阮,31,代指說話者。
05175201,俺,31,代指說話者。
04089001,本人,31,代指說話者。
05001602,人家,31,代指說話者。
06582901,工具,31,工作時必須使用的具有特定功能的器具。
06664901,身體,31,有機體特別是人或動物軀體的總稱，人或動物生理組織的整體或專指動物的軀幹。
03050502,以前,31,在時間參考點之前的時段。
05212801,老子,30,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
07036001,漢,30,中國朝代名，西元前202年至西元220年，漢高祖劉邦所建。
06652102,裡頭,30,在前述對象所包含的空間範圍。
05025101,轉變為,30,前述對象因顯著特性的取代而成為的是後述對象。
05228901,生存,30,形容生命持續。
06016202,秦,30,中國朝代名，西元前248年至西元前207年，由秦始皇所建立。
06697106,滅,30,消除後述對象使其不存在。
05182301,轉變成,30,前述對象因顯著特性的取代而成為的是後述對象。
07013301,那裡,30,離說話者或參考點較遠的位置。
07020501,宋,30,中國朝代名，西元960年至西元1279年，宋太祖趙匡胤所建。
13512201,素材,29,作品裡所使用到的材料。
06002801,操,29,咒罵語。
04120501,變為,29,前述對象因顯著特性的取代而成為的是後述對象。
06699002,離去,29,比喻生物失去生命。
03018212,後,29,未來的時間。
06630511,後面,29,未來的時間。
04084201,口,29,動物的口腔。
07064101,兔,29,哺乳類動物，耳大短尾，前腳比後腳短，善於跳躍。
03050501,以前,29,早於特定參考時間點或事件。
07025602,昨日,29,在時間參考點之前的時段。
06613701,學校,29,提供授課與學習的正規教育機構。
03050401,以內,29,在前述對象所包含的空間範圍。
14584001,交通工具,29,人類為了方便移動而搭乘或駕駛的工具。
04086701,外,29,不在前述對象所包含的空間範圍。
06771803,工作,29,在社會中所擔任的職務，通常為其身份認定的依據。
05221505,即,29,表後述事件緊接著發生。
03050101,以後,29,晚於特定時間參考點或事件。
06760004,活動,29,人類經過規劃所進行的各項行動。
04086301,之外,29,不在前述對象所包含的空間範圍。
06560102,時間,29,時點。
06678601,宗教,29,利用人類對於未知所產生的驚奇和敬畏心理而構成的一種信仰。
04028101,只有,29,表對後述事物做評估，表示比預期小或少。
04085701,之內,29,在前述對象所包含的空間範圍。
14136101,外貌,29,表面的模樣。
03033714,前,29,比喻在時間參考點之前的時段。
05002601,職業,29,在社會中所擔任的職務，通常為其身份認定的依據。
03050601,以外,29,不在前述對象所包含的空間範圍。
03024001,僅僅,28,表對後述事物做評估，表示比預期小或少。
05178001,愈趨,28,表程度加深。
05144502,及時,28,表後述事件緊接著發生。
05154001,僅只,28,表對後述事物做評估，表示比預期小或少。
04017403,用,28,付出金錢。
06770301,內部,28,在前述對象所包含的空間範圍。
06664502,裡面,28,在前述對象所包含的空間範圍。
04020601,哪,28,代指在前述對象中，不確定的一個。
06790502,安,28,表對事件的質問，並暗示與說話者的認知不同。
05223507,這,28,表後述事件緊接著發生。
07027002,際,28,在前述對象所包含的空間範圍。
03003902,不過,28,表對後述事物做評估，表示比預期小或少。
05007702,裏,28,在前述對象所包含的空間範圍。
05056901,益發,28,表程度加深。
04028501,只是,28,表對後述事物做評估，表示比預期小或少。
05224117,立,28,表後述事件緊接著發生。
06541709,摸,28,清楚地知道。
06560204,使,28,付出金錢。
04037301,需,28,前述事件因特定理由而仰賴後述對象。
04086802,裡,28,在前述對象所包含的空間範圍。
05119904,逾,28,表程度加深。
04011501,給,28,前述對象將特定事物所有權移轉到後述對象。
04004603,中,28,在前述對象所包含的空間範圍。
06741502,外面,28,不在前述對象所包含的空間範圍。
06551010,前面,28,早於特定參考時間點或事件。
06608802,離開,28,比喻生物失去生命。
13631801,天體,28,泛指太空中的物體。
05073301,輸,28,在競爭中被打敗。
07101508,解,28,清楚地知道。
04046401,更加,28,表程度加深。
06723901,只,28,表對後述事物做評估，表示比預期小或少。
04039201,隨即,27,表後述事件緊接著發生。
03050403,以內,27,在前述的機構或領域範圍。
04034301,僅,27,表對後述事物做評估，表示比預期小或少。
04086702,外,27,不在前述的機構或領域範圍。
14559301,徬徨,27,形容對自己所不能掌握的事感到不安。
05013303,祇不過,27,表對後述事物做評估，表示比預期小或少。
04030007,就是,27,表連接句子的轉折語氣，用來引出命題和前文相對的句子。
05073102,頓,27,表後述事件緊接著發生。
04032003,只不過,27,表對後述事物做評估，表示比預期小或少。
05018201,越發,27,表程度加深。
05147501,立刻,27,表後述事件緊接著發生。
07086001,爺,27,子女對生育自己的男子的指稱，或指在家庭關係中扮演父親角色的男子。
05053301,越加,27,表程度加深。
05129001,愈發,27,表程度加深。
07024902,當時,27,表後述事件緊接著發生。
03056801,之前,27,早於特定參考時間點或事件。
06694201,制度,27,經由制訂而被眾人所共同遵守的特定準則。
05003701,了,27,清楚地知道。
05018601,祇是,27,表對後述事物做評估，表示比預期小或少。
05229902,那裏,27,表對事件的質問，並暗示與說話者的認知不同。
06017905,龍,27,中國十二生肖之一，排在第五位。
06635201,亞洲,27,世界七大洲之第一大洲，涵蓋歐亞大陸的東部及其周圍的島嶼。
05033703,益,27,表程度加深。
03056401,之後,27,晚於特定時間參考點或事件。
06685401,明,27,形容光源的光線充足。
05051303,明白,27,清楚地知道。
05174501,益加,27,表程度加深。
05051501,立即,27,表後述事件緊接著發生。
05056401,愈加,27,表程度加深。
05236203,狗,27,中國十二生肖之一，排在第十一位。
06544905,生,27,形容生命持續。
04085703,之內,27,在前述的機構或領域範圍。
05043701,了解到,27,清楚地知道。
14092001,厭煩,27,形容因為對特定對象有負面的經驗與感覺。
14593401,王八蛋,27,咒罵語。
04046201,滿,27,事物的全體。
14587901,幹你娘,27,表示心中極度不悅的咒罵語。
03033712,前,27,早於特定參考時間點或事件。
13914801,服飾,27,衣服和身上配戴之裝飾品(如圍巾、項鍊、鞋包等)的總稱。
03050602,以外,27,不在前述的機構或領域範圍。
04086403,內,27,在前述的機構或領域範圍。
05208001,馬上,27,表後述事件緊接著發生。
10001001,容器,27,用來盛裝物品的器具。
05150601,愈益,27,表程度加深。
04042801,更形,27,表程度加深。
04086302,之外,27,不在前述的機構或領域範圍。
06583901,知識,27,透過學習所得到的對事物的認識和經驗的總和。
06652104,裡頭,26,在前述的機構或領域範圍。
05236204,狗,26,生肖屬狗的人。
05143703,偏偏,26,表連接句子的轉折語氣，用來引出命題和前文相對的句子。
06741503,外面,26,不在前述的機構或領域範圍。
09299301,以往,26,在時間參考點之前的時段。
06770303,內部,26,在前述的機構或領域範圍。
08058401,可,26,表連接句子的轉折語氣，用來引出命題和前文相對的句子。
09201101,瞭,26,清楚地知道。
05007704,裏,26,在前述的機構或領域範圍。
03018210,後,26,晚於特定參考時間點或事件。
09254101,定,26,表對推論的肯定，沒有例外。
03018201,後,26,物體背面的位置。
07024802,昨天,26,在時間參考點之前的時段。
05020501,賦與,26,前述對象將特定事物所有權移轉到後述對象。
09259501,戊,26,姓。
07023801,現在,26,說話者所在的時間參考點。
06651204,雞,26,生肖屬雞的人。
05035202,死,26,形容生物失去生命。
09250802,更,26,表程度加深。
05158901,落敗,26,形容在競爭中被打敗。
09047501,恆,26,表狀態持續，不會隨著時間而改變。
06765001,情感,26,人心理上自發的意念，能因外界刺激而引發特定心理狀態。
04148702,上升,26,數量或數目增加。
09012401,戊,26,天干的第五位。
04094302,上昇,26,數量或數目增加。
04086804,裡,26,在前述的機構或領域範圍。
06581501,送,26,前述對象將特定事物當作禮物給後述對象。
04004605,中,26,在前述的機構或領域範圍。
05113601,明瞭,26,清楚地知道。
04143910,后,26,晚於特定參考時間點或事件。
07028902,昨,26,在時間參考點之前的時段。
03050201,以降,26,晚於特定時間參考點或事件。
06664504,裡面,26,在前述的機構或領域範圍。
05079301,益形,26,表程度加深。
04084801,之后,26,晚於特定時間參考點或事件。
04084701,以后,26,晚於特定時間參考點或事件。
09288805,過往,25,在時間參考點之前的時段。
06012803,馬,25,中國十二生肖之一，排在第七位。
06004401,那裏,25,離說話者或參考點較遠的位置。
06020603,牛,25,中國十二生肖之一，排在第二位。
07058603,旋,25,表後述事件緊接著發生。
06651203,雞,25,中國十二生肖之一，排在第十位。
14224701,娛樂,25,使人感到愉快的活動。
05097001,必定,25,表對推論的肯定，沒有例外。
05221504,即,25,表前述事件為後述事件的充分條件，表示在該條件或情況下自然發展。
04036701,必,25,表對推論的肯定，沒有例外。
06521506,以下,25,晚於特定時間參考點或事件。
03037201,擅,25,專精於後述技術或領域。
09301801,隨後,25,表後述事件緊接著發生。
06562801,醜,25,形容人或物的外表不好看，不具有美的特質。
06721068,開,25,付出金錢。
06685715,投,25,比喻付出金錢。
06771801,工作,25,從事體力或腦力勞動。
06576006,以上,25,早於特定參考時間點或事件。
03043001,頭,25,動物軀體最前端，並帶有臉或帶有類似人類臉形的特徵。
04010206,叫,25,叫特定對象的名字是後述對象。
04001802,未,25,地支的第八位。
06624103,羊,25,中國十二生肖之一，排在第八位。
06540217,鐵,25,表對推論的肯定，沒有例外。
06570503,豬,25,中國十二生肖之一，排在第十二位。
08016202,遼,25,中國朝代名，西元916年至西元1125年，契丹人所建。
07072703,午,25,地支的第七位。
03003901,不過,25,表連接句子的轉折語氣，用來引出命題和前文相對的句子。
09309701,當下,25,表後述事件緊接著發生。
05233401,女,25,具有生產後代能力的人。
04034701,必然,25,表對推論的肯定，沒有例外。
05229001,花,25,植物的主要器官之一，主要用於繁殖，通常具有顏色鮮豔和形狀漂亮的花瓣。
06515601,這邊,25,離說話者或參考點較近的位置。
04140901,期望,25,希望並等待後述事件實現。
04030002,就是,25,前述對象連接的是後述對象，表以後述事物說明前述事物的屬性。
06792202,露,24,顯示出後述可被觀察的狀態。
05193301,勢必,24,表對推論的肯定，沒有例外。
05004501,光,24,表限定範圍。
06723902,只,24,表限定範圍。
06042701,現,24,顯示出後述可被觀察的狀態。
06700604,虎,24,生肖屬虎的人。
03003702,部分,24,表整體中的特定個體。
03037301,擅長,24,專精於後述技術或領域。
05002904,留,24,比喻將特定事物放在記憶中。
04153501,此,24,離說話者或參考點較近的位置。
03037401,善於,24,專精於後述技術或領域。
05129402,記下來,24,將特定事物放在記憶中。
05173301,精專,24,專精於後述技術或領域。
05133801,叫作,24,根據前述定義給予後述對象名稱。
06020604,牛,24,生肖屬牛的人。
09287401,亦即,24,前述對象連接的是後述對象，表兩者指涉相同。
05134001,斯,24,離說話者或參考點較近的位置。
06012804,馬,24,生肖屬馬的人。
05223502,這,24,離說話者或參考點較近的位置。
03032301,漂亮,24,形容人或物的外表好看使觀者感到愉悅而讚賞的。
08053901,系,24,前述對象連接的是後述對象，表兩者指涉相同。
06653201,那邊,24,離說話者或參考點較遠的位置。
06700603,虎,24,中國十二生肖之一，排在第三位。
06005710,背,24,形容運氣不好。
07033006,勢,24,表對推論的肯定，沒有例外。
04026902,便是,24,前述對象連接的是後述對象，表以後述事物說明前述事物的屬性。
05052501,一定,24,表對推論的肯定，沒有例外。
06552802,投入,24,比喻付出金錢。
07026601,今,24,說話者所在的時間參考點。
03035101,全部,24,事物的全體。
09031901,坤,24,易經卦名，八卦之一，代表地。
04030801,單單,24,表限定範圍。
06688601,這兒,24,離說話者或參考點較近的位置。
04020102,那,24,離說話者或參考點較遠的位置。
10016202,減低,24,數量或數目減少。
06755609,形,24,顯示出後述可被觀察的狀態。
06030812,長,24,專精於後述技術或領域。
06690201,男子,24,能產生精細胞使女子受孕生產的人。
06606602,降低,24,數量或數目減少。
05165902,顯,24,顯示出後述可被觀察的狀態。
07057804,猴,24,生肖屬猴的人。
04081702,部份,24,表整體中的特定個體。
03056001,整,24,事物的全體。
06755703,殼,24,獨立的建築物。
03055501,這裡,24,離說話者或參考點較近的位置。
06624104,羊,24,生肖屬羊的人。
04031301,不止,24,表超過後述數目。
04111401,稱,24,根據前述定義給予後述對象名稱。
04012003,為,24,前述對象連接的是後述對象，表兩者指涉相同。
07023501,是,24,前述對象連接的是後述對象，表兩者指涉相同。
06687601,呈,24,顯示出後述可被觀察的狀態。
04034302,僅,24,表限定範圍。
06721506,寫,24,比喻顯示出後述可被觀察的狀態。
06549601,住宅,24,設計供人居住或規定只能用於居住的建築物。
04030001,就是,24,前述對象連接的是後述對象，表兩者指涉相同。
05166201,老,24,形容年紀大的。
04080803,何,24,表對事件的質問，並暗示與說話者的認知不同。
08061601,見,24,顯示出後述可被觀察的狀態。
05007501,不祇,23,表超過後述數目。
05032301,擅於,23,專精於後述技術或領域。
04026901,便是,23,前述對象連接的是後述對象，表兩者指涉相同。
06757303,記,23,將特定事物放在記憶中。
06661701,記得,23,將特定事物放在記憶中。
07038008,工,23,專精於後述技術或領域。
13299501,苦澀,23,形容因負面的事而內心感到痛苦。
06617407,準,23,表對推論的肯定，沒有例外。
06588609,震,23,易經卦名，八卦之一，代表雷電。
04029801,不僅,23,表超過後述數目。
07036301,秀,23,形容人或物的外表好看使觀者感到愉悅而讚賞的。
04033601,不只,23,表超過後述數目。
06026301,水,23,形容人或物的外表好看使觀者感到愉悅而讚賞的。
03028501,蒙,23,用特定物體加以覆蓋、遮蔽。
07023409,的,23,前述對象連接的是後述對象，表兩者指涉相同。
09202504,糞,23,形容運氣不好。
05030101,專擅,23,專精於後述技術或領域。
07063609,泛,23,顯示出後述可被觀察的狀態。
06608101,係,23,前述對象連接的是後述對象，表兩者指涉相同。
